ano_sinistro,indicador,categoria,obitos
2014,Codigo IBGE,3502804,1
2014,Codigo IBGE,3505203,1
2014,Codigo IBGE,3505500,1
2014,Codigo IBGE,3509502,1
2014,Codigo IBGE,3510609,1
2014,Codigo IBGE,3529401,1
2014,Codigo IBGE,3541000,1
2014,Codigo IBGE,3547809,1
2014,Codigo IBGE,3550308,2
2014,Codigo IBGE,3552502,1
2015,Codigo IBGE,3500105,4
2015,Codigo IBGE,3500303,7
2015,Codigo IBGE,3500402,1
2015,Codigo IBGE,3500501,2
2015,Codigo IBGE,3500550,5
2015,Codigo IBGE,3500600,1
2015,Codigo IBGE,3500709,6
2015,Codigo IBGE,3500758,1
2015,Codigo IBGE,3500907,2
2015,Codigo IBGE,3501004,4
2015,Codigo IBGE,3501103,2
2015,Codigo IBGE,3501152,3
2015,Codigo IBGE,3501202,2
2015,Codigo IBGE,3501301,4
2015,Codigo IBGE,3501608,25
2015,Codigo IBGE,3501707,4
2015,Codigo IBGE,3501806,2
2015,Codigo IBGE,3501905,24
2015,Codigo IBGE,3502002,2
2015,Codigo IBGE,3502101,3
2015,Codigo IBGE,3502200,3
2015,Codigo IBGE,3502309,2
2015,Codigo IBGE,3502408,2
2015,Codigo IBGE,3502507,12
2015,Codigo IBGE,3502705,3
2015,Codigo IBGE,3502754,10
2015,Codigo IBGE,3502804,42
2015,Codigo IBGE,3502903,5
2015,Codigo IBGE,3503109,1
2015,Codigo IBGE,3503208,48
2015,Codigo IBGE,3503307,22
2015,Codigo IBGE,3503356,1
2015,Codigo IBGE,3503703,8
2015,Codigo IBGE,3503802,7
2015,Codigo IBGE,3503901,9
2015,Codigo IBGE,3503950,1
2015,Codigo IBGE,3504008,17
2015,Codigo IBGE,3504107,34
2015,Codigo IBGE,3504404,4
2015,Codigo IBGE,3504503,14
2015,Codigo IBGE,3504602,5
2015,Codigo IBGE,3504800,2
2015,Codigo IBGE,3504909,2
2015,Codigo IBGE,3505005,1
2015,Codigo IBGE,3505104,1
2015,Codigo IBGE,3505203,3
2015,Codigo IBGE,3505302,8
2015,Codigo IBGE,3505401,1
2015,Codigo IBGE,3505500,26
2015,Codigo IBGE,3505609,5
2015,Codigo IBGE,3505708,41
2015,Codigo IBGE,3505807,3
2015,Codigo IBGE,3505906,14
2015,Codigo IBGE,3506003,41
2015,Codigo IBGE,3506102,15
2015,Codigo IBGE,3506201,3
2015,Codigo IBGE,3506300,6
2015,Codigo IBGE,3506359,19
2015,Codigo IBGE,3506508,16
2015,Codigo IBGE,3506607,7
2015,Codigo IBGE,3506706,5
2015,Codigo IBGE,3506904,3
2015,Codigo IBGE,3507001,7
2015,Codigo IBGE,3507100,1
2015,Codigo IBGE,3507159,2
2015,Codigo IBGE,3507308,1
2015,Codigo IBGE,3507407,6
2015,Codigo IBGE,3507506,32
2015,Codigo IBGE,3507605,52
2015,Codigo IBGE,3507704,1
2015,Codigo IBGE,3507803,1
2015,Codigo IBGE,3507902,9
2015,Codigo IBGE,3508009,2
2015,Codigo IBGE,3508108,5
2015,Codigo IBGE,3508207,2
2015,Codigo IBGE,3508306,1
2015,Codigo IBGE,3508405,5
2015,Codigo IBGE,3508504,23
2015,Codigo IBGE,3508603,8
2015,Codigo IBGE,3508702,2
2015,Codigo IBGE,3508801,4
2015,Codigo IBGE,3509007,14
2015,Codigo IBGE,3509106,2
2015,Codigo IBGE,3509205,9
2015,Codigo IBGE,3509254,5
2015,Codigo IBGE,3509304,2
2015,Codigo IBGE,3509403,1
2015,Codigo IBGE,3509452,2
2015,Codigo IBGE,3509502,185
2015,Codigo IBGE,3509601,6
2015,Codigo IBGE,3509700,5
2015,Codigo IBGE,3509809,2
2015,Codigo IBGE,3509908,3
2015,Codigo IBGE,3509957,2
2015,Codigo IBGE,3510005,2
2015,Codigo IBGE,3510104,1
2015,Codigo IBGE,3510153,2
2015,Codigo IBGE,3510203,9
2015,Codigo IBGE,3510302,7
2015,Codigo IBGE,3510401,8
2015,Codigo IBGE,3510500,14
2015,Codigo IBGE,3510609,18
2015,Codigo IBGE,3510708,4
2015,Codigo IBGE,3510807,8
2015,Codigo IBGE,3510906,1
2015,Codigo IBGE,3511003,3
2015,Codigo IBGE,3511102,36
2015,Codigo IBGE,3511201,4
2015,Codigo IBGE,3511300,5
2015,Codigo IBGE,3511409,2
2015,Codigo IBGE,3511508,12
2015,Codigo IBGE,3511607,6
2015,Codigo IBGE,3511706,2
2015,Codigo IBGE,3511904,1
2015,Codigo IBGE,3512001,4
2015,Codigo IBGE,3512100,5
2015,Codigo IBGE,3512209,1
2015,Codigo IBGE,3512308,6
2015,Codigo IBGE,3512407,3
2015,Codigo IBGE,3512506,4
2015,Codigo IBGE,3512605,2
2015,Codigo IBGE,3512704,1
2015,Codigo IBGE,3512803,11
2015,Codigo IBGE,3512902,2
2015,Codigo IBGE,3513009,33
2015,Codigo IBGE,3513108,5
2015,Codigo IBGE,3513207,2
2015,Codigo IBGE,3513306,1
2015,Codigo IBGE,3513405,13
2015,Codigo IBGE,3513504,23
2015,Codigo IBGE,3513603,5
2015,Codigo IBGE,3513702,3
2015,Codigo IBGE,3513801,44
2015,Codigo IBGE,3513900,2
2015,Codigo IBGE,3514007,7
2015,Codigo IBGE,3514106,6
2015,Codigo IBGE,3514403,6
2015,Codigo IBGE,3514502,3
2015,Codigo IBGE,3514601,5
2015,Codigo IBGE,3514700,5
2015,Codigo IBGE,3514809,1
2015,Codigo IBGE,3514908,4
2015,Codigo IBGE,3514924,2
2015,Codigo IBGE,3515004,22
2015,Codigo IBGE,3515103,11
2015,Codigo IBGE,3515152,9
2015,Codigo IBGE,3515186,2
2015,Codigo IBGE,3515194,4
2015,Codigo IBGE,3515202,1
2015,Codigo IBGE,3515301,1
2015,Codigo IBGE,3515350,2
2015,Codigo IBGE,3515400,2
2015,Codigo IBGE,3515509,17
2015,Codigo IBGE,3515707,12
2015,Codigo IBGE,3515806,1
2015,Codigo IBGE,3515905,1
2015,Codigo IBGE,3516002,1
2015,Codigo IBGE,3516200,36
2015,Codigo IBGE,3516309,5
2015,Codigo IBGE,3516408,27
2015,Codigo IBGE,3516507,1
2015,Codigo IBGE,3516705,5
2015,Codigo IBGE,3516853,3
2015,Codigo IBGE,3516903,2
2015,Codigo IBGE,3517000,5
2015,Codigo IBGE,3517109,2
2015,Codigo IBGE,3517208,2
2015,Codigo IBGE,3517307,2
2015,Codigo IBGE,3517406,9
2015,Codigo IBGE,3517505,3
2015,Codigo IBGE,3517604,1
2015,Codigo IBGE,3517703,2
2015,Codigo IBGE,3517901,4
2015,Codigo IBGE,3518107,2
2015,Codigo IBGE,3518206,5
2015,Codigo IBGE,3518305,16
2015,Codigo IBGE,3518404,25
2015,Codigo IBGE,3518503,1
2015,Codigo IBGE,3518602,6
2015,Codigo IBGE,3518701,48
2015,Codigo IBGE,3518800,155
2015,Codigo IBGE,3518859,7
2015,Codigo IBGE,3518909,2
2015,Codigo IBGE,3519055,2
2015,Codigo IBGE,3519071,24
2015,Codigo IBGE,3519253,7
2015,Codigo IBGE,3519303,4
2015,Codigo IBGE,3519402,6
2015,Codigo IBGE,3519501,1
2015,Codigo IBGE,3519600,10
2015,Codigo IBGE,3519709,19
2015,Codigo IBGE,3519808,6
2015,Codigo IBGE,3519907,1
2015,Codigo IBGE,3520004,1
2015,Codigo IBGE,3520103,10
2015,Codigo IBGE,3520202,9
2015,Codigo IBGE,3520301,6
2015,Codigo IBGE,3520400,2
2015,Codigo IBGE,3520426,3
2015,Codigo IBGE,3520442,7
2015,Codigo IBGE,3520509,27
2015,Codigo IBGE,3520608,1
2015,Codigo IBGE,3520905,3
2015,Codigo IBGE,3521002,3
2015,Codigo IBGE,3521101,2
2015,Codigo IBGE,3521150,1
2015,Codigo IBGE,3521200,1
2015,Codigo IBGE,3521408,1
2015,Codigo IBGE,3521606,1
2015,Codigo IBGE,3521705,5
2015,Codigo IBGE,3521804,7
2015,Codigo IBGE,3521903,4
2015,Codigo IBGE,3522109,18
2015,Codigo IBGE,3522158,1
2015,Codigo IBGE,3522208,27
2015,Codigo IBGE,3522307,45
2015,Codigo IBGE,3522406,20
2015,Codigo IBGE,3522505,31
2015,Codigo IBGE,3522604,21
2015,Codigo IBGE,3522653,2
2015,Codigo IBGE,3522703,8
2015,Codigo IBGE,3522802,2
2015,Codigo IBGE,3523107,48
2015,Codigo IBGE,3523206,4
2015,Codigo IBGE,3523305,3
2015,Codigo IBGE,3523404,10
2015,Codigo IBGE,3523503,7
2015,Codigo IBGE,3523602,5
2015,Codigo IBGE,3523701,1
2015,Codigo IBGE,3523800,3
2015,Codigo IBGE,3523909,40
2015,Codigo IBGE,3524006,6
2015,Codigo IBGE,3524105,8
2015,Codigo IBGE,3524303,21
2015,Codigo IBGE,3524402,32
2015,Codigo IBGE,3524600,5
2015,Codigo IBGE,3524709,8
2015,Codigo IBGE,3524808,10
2015,Codigo IBGE,3525003,2
2015,Codigo IBGE,3525102,13
2015,Codigo IBGE,3525201,9
2015,Codigo IBGE,3525300,32
2015,Codigo IBGE,3525409,1
2015,Codigo IBGE,3525508,1
2015,Codigo IBGE,3525607,3
2015,Codigo IBGE,3525706,19
2015,Codigo IBGE,3525805,1
2015,Codigo IBGE,3525904,83
2015,Codigo IBGE,3526100,8
2015,Codigo IBGE,3526209,15
2015,Codigo IBGE,3526407,3
2015,Codigo IBGE,3526506,2
2015,Codigo IBGE,3526605,5
2015,Codigo IBGE,3526704,11
2015,Codigo IBGE,3526803,12
2015,Codigo IBGE,3526902,60
2015,Codigo IBGE,3527009,2
2015,Codigo IBGE,3527108,12
2015,Codigo IBGE,3527207,17
2015,Codigo IBGE,3527256,1
2015,Codigo IBGE,3527306,5
2015,Codigo IBGE,3527405,6
2015,Codigo IBGE,3527504,2
2015,Codigo IBGE,3527603,1
2015,Codigo IBGE,3527801,2
2015,Codigo IBGE,3528007,7
2015,Codigo IBGE,3528106,1
2015,Codigo IBGE,3528304,1
2015,Codigo IBGE,3528403,11
2015,Codigo IBGE,3528502,18
2015,Codigo IBGE,3528601,2
2015,Codigo IBGE,3528700,1
2015,Codigo IBGE,3528809,4
2015,Codigo IBGE,3528858,1
2015,Codigo IBGE,3528908,1
2015,Codigo IBGE,3529005,43
2015,Codigo IBGE,3529203,9
2015,Codigo IBGE,3529302,12
2015,Codigo IBGE,3529401,35
2015,Codigo IBGE,3529500,1
2015,Codigo IBGE,3529609,2
2015,Codigo IBGE,3529708,2
2015,Codigo IBGE,3529807,1
2015,Codigo IBGE,3529906,27
2015,Codigo IBGE,3530003,2
2015,Codigo IBGE,3530102,3
2015,Codigo IBGE,3530201,2
2015,Codigo IBGE,3530300,7
2015,Codigo IBGE,3530409,1
2015,Codigo IBGE,3530508,15
2015,Codigo IBGE,3530607,69
